CustomerID,CustomerName,Email,City,Country,CustomerSegment,RegistrationDate
1,Patricia Carter,lcarter@example.org,Abuja,Nigeria,Discount Sensitive,2022-10-17
2,Jill Sims,aduncan@example.net,Warri,Nigeria,Discount Sensitive,2025-12-17
3,William Moody,bethanymurray@example.org,Uyo,Nigeria,High Value,2022-03-02
4,Ryan Dunn,williamclark@example.org,Jos,Nigeria,Regular,2023-03-09
5,Douglas Moore,andrea65@example.net,Jos,Nigeria,Regular,2024-04-07
6,Michael Murphy,john94@example.org,Onitsha,Nigeria,Regular,2025-08-24
7,Kathleen Thornton,melissabarnes@example.net,Abuja,Nigeria,New,2024-12-08
8,Monica Rice,fblake@example.com,Uyo,Nigeria,Discount Sensitive,2025-08-06
9,Jennifer Gomez,pwise@example.com,Port Harcourt,Nigeria,Regular,2023-10-09
10,Doris Lewis,ericksonrichard@example.com,Abuja,Nigeria,Regular,2025-06-03
11,Katherine Thomas,jesusbowman@example.org,Abeokuta,Nigeria,Occasional,2023-04-09
12,Rita Pennington,mendozarichard@example.com,Osogbo,Nigeria,New,2022-08-20
13,Daniel Perez,boyermatthew@example.org,Calabar,Nigeria,Discount Sensitive,2025-07-31
14,Todd Molina,michaelbradley@example.net,Warri,Nigeria,New,2024-08-21
15,Jeremy Washington,dcruz@example.net,Calabar,Nigeria,New,2022-04-08
16,Vickie Smith,adamstaylor@example.org,Warri,Nigeria,Regular,2023-07-10
17,William Blair,tmartin@example.com,Abeokuta,Nigeria,Regular,2022-10-02
18,Tara Smith,elizabethlewis@example.org,Ibadan,Nigeria,New,2023-11-22
19,Cheryl Gomez,ucalderon@example.com,Sokoto,Nigeria,Occasional,2024-09-05
20,Sandra Osborn,stephanie10@example.com,Ilorin,Nigeria,High Value,2022-08-14
21,Monica Swanson,kyle50@example.com,Abeokuta,Nigeria,Discount Sensitive,2025-08-27
22,Jessica Taylor,williamsjulia@example.com,Kaduna,Nigeria,Regular,2025-11-28
23,Donald Hines,farmermichelle@example.com,Kano,Nigeria,High Value,2024-08-26
24,Kristin Carr,charlesbennett@example.net,Ado-Ekiti,Nigeria,Occasional,2023-01-24
25,Julia Garcia,david43@example.net,Warri,Nigeria,Regular,2022-11-24
26,Steven Wilson,jose21@example.org,Owerri,Nigeria,Regular,2025-06-08
27,Glenn Fowler,icollins@example.net,Jos,Nigeria,High Value,2023-09-28
28,Elizabeth Dillon,lindsay58@example.net,Sokoto,Nigeria,High Value,2022-03-30
29,John Hodges,christopher05@example.net,Abeokuta,Nigeria,Occasional,2023-08-17
30,Elizabeth Hensley,jamesjordan@example.com,Jos,Nigeria,New,2025-03-03
31,Andrew Gilbert,kgilbert@example.net,Ilorin,Nigeria,High Value,2024-07-22
32,Devin Walker,hchambers@example.net,Port Harcourt,Nigeria,New,2025-03-10
33,Bonnie Benson,justinvasquez@example.com,Abuja,Nigeria,Regular,2024-09-01
34,Nicole Brennan,hroberts@example.net,Akure,Nigeria,Regular,2023-01-17
35,Maurice Dawson,gravesrobin@example.org,Onitsha,Nigeria,New,2024-04-04
36,Brandon Myers,aliciajensen@example.com,Abuja,Nigeria,Regular,2024-04-09
37,Julie Ortiz,stevenfischer@example.com,Onitsha,Nigeria,Regular,2025-12-07
38,Christopher Goodwin,reevesdavid@example.org,Sokoto,Nigeria,Discount Sensitive,2023-03-11
39,Melanie Johnson,sean10@example.org,Benin City,Nigeria,Occasional,2023-04-22
40,Lori Howard,lcurtis@example.com,Owerri,Nigeria,New,2022-11-04
41,Heidi Davis,carlmays@example.org,Kano,Nigeria,New,2023-07-14
42,Joseph Kelly,candace40@example.net,Warri,Nigeria,Occasional,2024-06-22
43,Michael Clayton,coxmiguel@example.com,Calabar,Nigeria,Regular,2023-09-25
44,Amanda Silva DDS,davidmorris@example.com,Kaduna,Nigeria,Occasional,2024-11-25
45,Alisha Moore,gilmoreconnor@example.net,Abuja,Nigeria,New,2022-03-31
46,Margaret Hansen,kochhannah@example.com,Osogbo,Nigeria,Discount Sensitive,2024-11-07
47,Michelle Castillo,mcgeerobert@example.org,Jos,Nigeria,New,2025-08-11
48,Jimmy Lloyd,william36@example.org,Onitsha,Nigeria,Occasional,2025-05-10
49,Dr. Jeffery Hicks,fowlerjade@example.org,Uyo,Nigeria,Discount Sensitive,2023-11-02
50,George Gonzalez,ibullock@example.com,Warri,Nigeria,Regular,2024-11-10
51,Kevin Stevens,fchung@example.com,Warri,Nigeria,Occasional,2025-02-07
52,Jane Sanchez,christopher47@example.org,Kano,Nigeria,Discount Sensitive,2023-07-13
53,Charlotte Cox,danieljensen@example.net,Kaduna,Nigeria,Regular,2023-07-06
54,Catherine Chase,jturner@example.com,Ilorin,Nigeria,New,2025-12-01
55,Micheal Jennings,nsanchez@example.org,Ilorin,Nigeria,New,2025-04-17
56,Adam Garcia,patelsteven@example.com,Lagos,Nigeria,Discount Sensitive,2025-10-28
57,Terry Martin,iromero@example.org,Abeokuta,Nigeria,Occasional,2025-06-21
58,Nicole Perez,juliahampton@example.net,Kano,Nigeria,High Value,2023-10-23
59,Marcus Ortega,codypeterson@example.com,Calabar,Nigeria,New,2023-08-07
60,Thomas Braun,haynesandre@example.org,Uyo,Nigeria,New,2025-11-19
61,Benjamin Hopkins,rwilliams@example.com,Ado-Ekiti,Nigeria,Discount Sensitive,2023-12-27
62,Victoria Ramirez MD,richard89@example.net,Calabar,Nigeria,Discount Sensitive,2025-12-07
63,Lonnie Hunt,ewagner@example.com,Kaduna,Nigeria,New,2024-06-28
64,Melinda Jones,tony13@example.com,Osogbo,Nigeria,New,2024-12-22
65,William Nielsen,medinamichele@example.com,Jos,Nigeria,Regular,2024-11-05
66,Pamela Ellis,smithjoel@example.org,Enugu,Nigeria,Regular,2025-03-25
67,James Ramos,johnsonjasmin@example.com,Ado-Ekiti,Nigeria,Occasional,2022-08-02
